Магазин,Категория,Бренд,Модель,Цвет,RAM,ROM,Цена,Ссылка на изображение,Ссылка,Рейтинг,Кол-во отзывов,Код продукта
мвидео,смартфоны,sony,xperia 5 ii,black,8,128,49990,https://img.mvideo.ru/pdb/small_pic/480/30053769b.jpg,https://www.mvideo.ru/products/smartfon-sony-xperia5ii-black-xq-as52-30053769,5.0,1,30053769
мвидео,смартфоны,sony,xperia 5 ii,blue,8,128,49990,https://img.mvideo.ru/pdb/small_pic/480/30053770b.jpg,https://www.mvideo.ru/products/smartfon-sony-xperia5ii-blue-xq-as52-30053770,5.0,1,30053770

dns,смартфоны,samsung,galaxy s20,голубой,8,128,52899,https://c.dns-shop.ru/thumb/st1/fit/200/200/65779b19ba7e001aa218b6ea46b37edf/3bc2d2792061dfcbccb35447c06b1f4dec787d55728d28479f31e464cfd8e391.jpg,https://www.dns-shop.ru/product/971b16bc42481b80/62-smartfon-samsung-galaxy-s20-128-gb-goluboj/,4.5,112,1627799
dns,смартфоны,samsung,galaxy s20,красный,8,128,52899,https://c.dns-shop.ru/thumb/st1/fit/200/200/9225638495d33307d9e1fa6ae0a238aa/6ed870d7a7970b6c25308aaf8df7693f1305f59326b34fcf4e3de00aba6a486b.jpg,https://www.dns-shop.ru/product/b56c411542481b80/62-smartfon-samsung-galaxy-s20-128-gb-krasnyj/,4.5,112,1627801
dns,смартфоны,samsung,galaxy s20,серый,8,128,52899,https://c.dns-shop.ru/thumb/st1/fit/200/200/ebdc0a4df67fdd231053de66368a8e38/0b49aa709bb7727d5bf75a0749d13c63bf6f09de3f3540ffea47a1fdf515a5b9.jpg,https://www.dns-shop.ru/product/a41f955a42481b80/62-smartfon-samsung-galaxy-s20-128-gb-seryj/,4.5,112,1627800
мтс,смартфоны,samsung,galaxy s20,blue,8,128,59990,https://mtscdn.ru/upload/iblock/299/smartfon_samsung_g980_galaxy_s20_5g_8_128gb_blue.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-samsung-g980-galaxy-s20-5g-8-128gb-blue,5.0,5,none
мвидео,смартфоны,samsung,galaxy s20,light blue,8,128,64490,https://img.mvideo.ru/pdb/small_pic/480/30048208b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-s20-light-blue-sm-g980f-ds-30048208,4.2,12,30048208
мвидео,смартфоны,samsung,galaxy s20,gray,8,128,64490,https://img.mvideo.ru/pdb/small_pic/480/30048207b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-s20-gray-sm-g980f-ds-30048207,4.0,31,30048207

dns,смартфоны,apple,iphone 11 pro,зеленый,4,64,80499,https://c.dns-shop.ru/thumb/st4/fit/200/200/94e70be2ba5e9b593661bd3fdf359dec/8e04f323c1d80bd22642b3510f574a32939f35adb3a7f9ba0437b24299a74f8d.jpg,https://www.dns-shop.ru/product/de01a82fd4381b80/58-smartfon-apple-iphone-11-pro-64-gb-zelenyj/,4.5,207,1394835
